Country,Weight_kg,Price_KRW
Macao,15.5,71500
Macao,16.0,73000
Macao,16.5,75000
Macao,17.0,77000
Macao,17.5,79000
Macao,18.0,81000
Macao,18.5,83000
Macao,19.0,85000
Macao,19.5,86500
Macao,20.0,88500
Macao,20.5,86500
Mongolia,0.5,13500
Mongolia,1.0,15500
Mongolia,1.5,17000
Mongolia,2.0,19000
Mongolia,2.5,21000
Mongolia,3.0,23000
Mongolia,3.5,24500
Mongolia,4.0,27000
Mongolia,4.5,28500
Mongolia,5.0,30500
Mongolia,5.5,32500
Mongolia,6.0,34500
Mongolia,6.5,36500
Mongolia,7.0,38500
Mongolia,7.5,40500
Mongolia,8.0,42000
Mongolia,8.5,44000
Mongolia,9.0,46000
Mongolia,9.5,48000
Mongolia,10.0,50000
Mongolia,10.5,52000
Mongolia,11.0,54000
Mongolia,11.5,56000
Mongolia,12.0,57500
Mongolia,12.5,59500
Mongolia,13.0,61500
Mongolia,13.5,63500
Mongolia,14.0,65500
Mongolia,14.5,67500
Mongolia,15.0,69000
Mongolia,15.5,71500
Mongolia,16.0,73000
Mongolia,16.5,75000
Mongolia,17.0,77000
Mongolia,17.5,79000
Mongolia,18.0,81000
Mongolia,18.5,83000
Mongolia,19.0,85000
Mongolia,19.5,86500
Mongolia,20.0,88500
Mongolia,20.5,86500
Myanmar,0.5,13500
Myanmar,1.0,15500
Myanmar,1.5,17000
Myanmar,2.0,19000
Myanmar,2.5,21000
Myanmar,3.0,23000
Myanmar,3.5,24500
Myanmar,4.0,27000
Myanmar,4.5,28500
Myanmar,5.0,30500
Myanmar,5.5,32500
Myanmar,6.0,34500
Myanmar,6.5,36500
Myanmar,7.0,38500
Myanmar,7.5,40500
Myanmar,8.0,42000
Myanmar,8.5,44000
Myanmar,9.0,46000
Myanmar,9.5,48000
Myanmar,10.0,50000
Myanmar,10.5,52000
Myanmar,11.0,54000
Myanmar,11.5,56000
Myanmar,12.0,57500
Myanmar,12.5,59500
Myanmar,13.0,61500
Myanmar,13.5,63500
Myanmar,14.0,65500
Myanmar,14.5,67500
Myanmar,15.0,69000
Myanmar,15.5,71500
Myanmar,16.0,73000
Myanmar,16.5,75000
Myanmar,17.0,77000
Myanmar,17.5,79000
Myanmar,18.0,81000
Myanmar,18.5,83000
Myanmar,19.0,85000
Myanmar,19.5,86500
Myanmar,20.0,88500
Myanmar,20.5,86500
Bangladesh,0.5,18000
Bangladesh,1.0,21500
Bangladesh,1.5,24500
Bangladesh,2.0,27500
Bangladesh,2.5,31000
Bangladesh,3.0,34000
Bangladesh,3.5,37000
Bangladesh,4.0,40000
Bangladesh,4.5,43500
Bangladesh,5.0,46500
Bangladesh,5.5,49500
Bangladesh,6.0,53000
Bangladesh,6.5,56000
Bangladesh,7.0,59000
Bangladesh,7.5,62000
Bangladesh,8.0,65500
Bangladesh,8.5,68500
Bangladesh,9.0,71500
Bangladesh,9.5,74500
Bangladesh,10.0,78000
Bangladesh,10.5,81000
Bangladesh,11.0,84000
Bangladesh,11.5,87500
Bangladesh,12.0,90500
Bangladesh,12.5,93500
Bangladesh,13.0,97000
Bangladesh,13.5,100000
Bangladesh,14.0,103000
Bangladesh,14.5,106000
Bangladesh,15.0,109500
Bangladesh,15.5,112500
Bangladesh,16.0,115500
Bangladesh,16.5,119000
Bangladesh,17.0,122000
Bangladesh,17.5,125000
Bangladesh,18.0,128000
Bangladesh,18.5,131500
Bangladesh,19.0,134500
Bangladesh,19.5,137500
Bangladesh,20.0,140500
Bangladesh,20.5,137500
Bhutan,0.5,18000
Bhutan,1.0,21500
Bhutan,1.5,24500
Bhutan,2.0,27500
Bhutan,2.5,31000
Bhutan,3.0,34000
Bhutan,3.5,37000
Bhutan,4.0,40000
Bhutan,4.5,43500
Bhutan,5.0,46500
Bhutan,5.5,49500
Bhutan,6.0,53000
Bhutan,6.5,56000
Bhutan,7.0,59000
Bhutan,7.5,62000
Bhutan,8.0,65500
Bhutan,8.5,68500
Bhutan,9.0,71500
Bhutan,9.5,74500
Bhutan,10.0,78000
Bhutan,10.5,81000
Bhutan,11.0,84000
Bhutan,11.5,87500
Bhutan,12.0,90500
Bhutan,12.5,93500
Bhutan,13.0,97000
Bhutan,13.5,100000
Bhutan,14.0,103000
Bhutan,14.5,106000
Bhutan,15.0,109500
Bhutan,15.5,112500
Bhutan,16.0,115500
Bhutan,16.5,119000
Bhutan,17.0,122000
Bhutan,17.5,125000
Bhutan,18.0,128000
Bhutan,18.5,131500
Bhutan,19.0,134500
Bhutan,19.5,137500
Bhutan,20.0,140500
Bhutan,20.5,137500
Brunei,0.5,18000
Brunei,1.0,21500
Brunei,1.5,24500
Brunei,2.0,27500
Brunei,2.5,31000
Brunei,3.0,34000
Brunei,3.5,37000
Brunei,4.0,40000
Brunei,4.5,43500
Brunei,5.0,46500
Brunei,5.5,49500
Brunei,6.0,53000
Brunei,6.5,56000
Brunei,7.0,59000
Brunei,7.5,62000
Brunei,8.0,65500
Brunei,8.5,68500
Brunei,9.0,71500
Brunei,9.5,74500
Brunei,10.0,78000
Brunei,10.5,81000
Brunei,11.0,84000
Brunei,11.5,87500
Brunei,12.0,90500
Brunei,12.5,93500
Brunei,13.0,97000
Brunei,13.5,100000
Brunei,14.0,103000
Brunei,14.5,106000
Brunei,15.0,109500
Brunei,15.5,112500
Brunei,16.0,115500
Brunei,16.5,119000
Brunei,17.0,122000
Brunei,17.5,125000
Brunei,18.0,128000
Brunei,18.5,131500
Brunei,19.0,134500
Brunei,19.5,137500
Brunei,20.0,140500
Brunei,20.5,137500
India,0.5,18000
India,1.0,21500
India,1.5,24500
India,2.0,27500
India,2.5,31000
India,3.0,34000
India,3.5,37000
India,4.0,40000
India,4.5,43500
India,5.0,46500
India,5.5,49500
India,6.0,53000
India,6.5,56000
India,7.0,59000
India,7.5,62000
India,8.0,65500
India,8.5,68500
India,9.0,71500
India,9.5,74500
